SampleID,Diversidad_Shannon,Firmicutes_%,Bacteroidetes_%,Actinobacteria_%,Proteobacteria_%,F_B_ratio
7117.107565,4.6711266,26.77352031,3.148856709,32.87717628,27.70902367,8.502616279
5636.105379,3.794560798,51.81912765,0.838735494,28.99079632,16.1392557,61.78244275
5637.105391,3.687834538,43.47142283,0.985477178,24.41942176,29.07743274,44.11205433
5634.105389,3.274782744,39.56370848,0.932077343,44.43232524,13.61923649,42.44680851
7115.107566,5.145182034,20.83274072,18.29931731,3.584127436,52.56898023,1.138443602
7123.10757,3.639625447,16.54623023,1.70574244,5.051157171,63.77996753,9.700309872
9713.11304,3.93615276,42.88778505,1.538157598,40.60453827,11.78877851,27.88256881
5598.113057,5.303692117,27.86536594,4.914697859,24.53650192,37.73637246,5.669802446
5597.113012,4.848595742,26.90410959,6.136986301,22.19178082,34.95890411,4.383928571
000015216.fixed8,6.026164032,22.33889725,6.946914763,29.93227528,23.76522096,3.215657312
000015465.fixed192,3.822405897,30.88074995,2.823195989,35.60333551,24.97002398,10.93822394
000007797.fixed1095,4.842282807,39.14031593,8.386408911,10.4823097,30.26009371,4.667112747
7112.107569,4.879341031,30.69797828,5.751350342,24.70514122,33.25867077,5.337525355
5221.105384,3.312391884,47.04246509,10.18593699,29.15922377,9.507957129,4.618373854
9711.11301,4.843857872,24.9341805,2.467792326,35.56710078,31.54421315,10.10384068
000007785.fixed1068,3.819586194,43.73377067,3.60803608,8.919866976,38.1303813,12.12121212
7119.107566,5.416933604,13.42694797,9.412473032,11.1967538,57.67272089,1.426505864
5430.105382,4.73671102,39.4556962,9.265822785,18.54008439,25.98312236,4.258196721
3385.105388,4.329835319,28.05543304,5.160286915,23.58921981,35.79006012,5.436797121
5165.105386,4.284696503,35.90212614,5.915191828,13.20346835,24.7844162,6.069477912
14513.12597,3.903792822,19.79365257,4.631602557,49.57945497,23.77481216,4.273607748
000015976.fixed270,2.745604724,6.120594535,3.579541767,42.33465308,39.62484585,1.70988214
000015350.fixed89,1.750378296,77.52038142,0.425826176,4.547605183,9.810379968,182.0470085
3320.105377,4.163031623,43.15212075,2.435189714,13.99972049,26.58793935,17.72022956
000013254.fixed104,4.491994342,71.2527867,24.24505631,0.353223892,2.681027245,2.938858371
7113.10757,4.602881415,41.35528714,6.35794804,20.95421632,26.20506701,6.504502219
7110.107567,3.568968483,36.11404605,1.961527604,34.43481066,23.17538412,18.41118421
7122.107568,3.54176539,26.43586833,2.124858116,5.231782066,37.5677639,12.44123932
7077.107569,4.08889811,74.74182868,19.32994323,5.883580826,0.030151395,3.86663467
7108.107566,4.627755605,55.30092944,37.91367309,1.562787204,2.559358742,1.45860121
7104.107568,4.07329762,43.08915269,41.76963956,0.055093779,7.50849505,1.031590244
7116.107569,2.881414628,24.08721969,29.2080445,6.155077789,37.8013679,0.824677588
2503.107637,3.784193102,30.5460249,58.18057053,2.239976473,6.567983531,0.525021061
1243.105384,4.722459466,66.96799017,22.6780706,2.389727186,2.069860696,2.952984464
14523.12619,4.453131711,45.49354898,45.85159578,0.194456448,2.682264337,0.992191181
14187.12617,3.972266487,30.37696718,65.74356472,1.012565573,2.214224716,0.462052329
000013618.fixed715,4.61960661,45.83236133,45.72648806,0.078956341,6.259084465,1.00231536
11300.12573,4.217550671,47.417209,50.84291924,0.325400447,0.773276338,0.932621685
2537.125968,4.569213686,52.79659082,34.62826269,0.197854045,3.458640895,1.524667619
1271.126206,2.399204296,33.33333333,50,0,16.66666667,0.666666667
000007704.fixed711,4.049772056,39.91426254,55.94369135,0.243309002,3.510601321,0.713472093
7080.107565,3.799000041,47.54437486,2.646266671,34.80303079,9.103741441,17.96658492
7079.107569,3.839405885,53.24022027,2.451363351,21.46110021,12.8913321,21.7186164
7078.107569,3.751788472,50.26979355,2.10543195,25.23311285,13.41030267,23.87623762
EB.1075679,2.009389675,63.24262237,0.77752253,29.24368263,3.458208164,81.33863636
EB2.1075660,3.00157318,43.83532574,0.997382754,34.50519912,9.598924807,43.95035461
7120.107568,3.794280999,46.97113475,50.35261167,0.644608407,1.167986957,0.932844061
7084.107571,3.926219847,49.03991042,7.615742981,8.23921368,32.2262466,6.439281176
7128.107567,3.956374125,31.86654739,4.649792138,18.54654528,37.78666526,6.853327297
3638.105394,3.836820414,59.91325641,4.258321574,15.6615755,13.97028306,14.06968811
5069.105383,4.022715784,48.76216051,10.78133465,22.71217582,7.193837891,4.522831549
4237.105386,3.900441104,35.86854297,1.931450068,28.07656136,25.19244836,18.57078449
5084.10539,3.106229307,44.50989249,1.673141205,33.69229379,16.61577378,26.60259179
5650.105388,4.062067127,39.2148674,7.692307692,13.64505196,26.14966992,5.097932763
5652.105386,3.857761477,51.35697452,6.613639711,23.37052585,8.340698188,7.765311804
5651.105393,4.391072399,45.38680319,9.789533561,17.79294653,14.48047023,4.63625799
2841.113163,3.146345305,68.84729064,2.049261084,23.26108374,2.308702791,33.59615385
